x,y,z,energy
9952,1968,1320,10230.23597
10272,1936,1299,10533.25595
10144,1840,1294,10390.41732
9984,1744,1292,10217.19414
9632,1632,1313,9857.120117
10304,1488,1296,10491.24282
9872,1392,1286,10052.25567
10656,864,1264,10765.43209
10480,1040,1257,10606.2269
10000,992,1286,10131.0345
10608,2112,1323,10896.81316
10704,1584,1276,10895.54257
10512,1360,1278,10676.3771
10832,1296,1265,10982.35243
10448,1216,1260,10593.72267
10400,1264,1278,10554.19253
10384,1264,1273,10537.82145
10416,1376,1272,10583.21388
10560,1280,1264,10712.12845
10512,1312,1260,10668.22797
10432,1296,1284,10590.32086
10448,1296,1270,10604.39626
10448,1168,1275,10590.11582
10592,1232,1265,10738.18015
10544,1280,1268,10696.82944
10416,1120,1268,10552.50113
10432,1232,1278,10581.95313
10512,1248,1268,10661.49483
10736,1248,1259,10881.37312
10448,1472,1268,10627.10271
10416,1744,1283,10638.64094
10144,1264,1304,10305.28253
12080,736,1356,12178.12925
10560,1488,1016,10712.60939
11296,1888,1318,11528.28192
10656,1360,1273,10817.59978
10592,1760,1273,10812.42771
10736,1616,1264,10930.27209
10512,1568,1257,10702.37436
10752,1520,1262,10931.99652
10480,1488,1273,10661.38232
10608,1440,1281,10781.66151
10496,1392,1273,10664.15533
10192,1152,1259,10333.8787
10768,1408,1267,10933.32415
10800,1424,1249,10964.84277
10512,1264,1264,10662.90467
10624,1232,1248,10767.76226
10640,1280,1249,10789.25396
10528,1248,1244,10674.44725
10656,1360,1256,10815.61242
9856,2000,1294,10139.78165
9952,2016,1312,10238.5499
9696,2032,1318,9993.926356
9840,2032,1313,10133.04461
9760,1952,1300,10037.82367
9936,1952,1294,10208.27292
9888,1984,1280,10165.98249
9904,1872,1284,10160.81965
9824,2064,1308,10123.33621
10048,1936,1291,10313.92656
10016,2064,1284,10306.74575
9776,1984,1302,10059.90239
9968,2032,1302,10255.98615
9984,1968,1280,10256.29953
9968,2064,1288,10260.60739
9696,1968,1307,9979.663772
10016,1984,1300,10293.03221
10080,2000,1291,10357.27189
10000,2032,1291,10285.70391
9872,2064,1304,10169.40982
9824,1984,1296,10105.7829
9968,2048,1276,10255.90094
9952,1968,1294,10226.91371
10000,2064,1296,10292.70188
9712,1872,1299,9975.706942
10000,2000,1297,10280.18526
9984,1920,1284,10247.69789
9936,2064,1292,10230.02717
9728,1840,1294,9984.689279
9872,2016,1291,10158.11602
10096,2064,1292,10385.49835
10096,2064,1297,10386.12156
9968,2016,1286,10250.80855
9952,2000,1281,10231.48401
9904,1936,1292,10173.81816
10160,2048,1284,10443.58942
9776,1920,1289,10045.79997
9952,2064,1296,10246.0732
9904,1952,1280,10175.35847
9872,2080,1297,10171.77433
9856,1984,1291,10136.25537
9680,1888,1318,9950.078794
9392,1664,1310,9627.806604
9536,1712,1315,9777.293337
9648,1776,1299,9895.730443
9904,1856,1286,10158.13703
9856,1904,1288,10120.51856
10064,1952,1297,10333.27678
9760,1840,1286,10014.83879
9904,1872,1288,10161.3259
9968,2064,1280,10259.60623
9904,2416,1289,10275.5921
10128,2320,1289,10469.97159
9936,2256,1281,10269.10868
10480,2208,1243,10781.96239
10640,2160,1230,10926.48617
12544,1792,1048,12714.61773
12384,1664,1083,12542.13861
12608,1696,1052,12764.98273
12704,1744,1059,12866.80353
12848,1840,1065,13022.70821
12704,1520,1049,12837.53937
12528,1520,1051,12663.56131
12512,1568,1044,12653.01166
12640,1648,1048,12789.98858
12848,1824,1060,13020.04916
12432,1632,1049,12582.46593
12448,1568,1036,12589.06764
12688,1712,1056,12846.4557
12736,1792,1062,12905.2239
12480,1744,1046,12644.60565
12544,1504,1043,12676.82141
12704,1696,1048,12859.48428
12720,1648,1043,12868.65001
12496,1632,1051,12645.87051
12512,1552,1056,12652.03478
12688,1616,1036,12832.38466
12672,1616,1043,12817.13264
12672,1680,1033,12824.54962
12656,1600,1028,12798.09048
12864,1056,982,12944.57245
11952,1104,1118,12054.83488
11888,1072,1100,11986.81476
11952,1008,1108,12045.49841
11888,1136,1115,11994.09292
12016,1184,1118,12125.84166
11936,1248,1118,12053.02966
12032,1136,1110,12136.3759
