x,y,z,energy
16192,-752,7600,17902.69164
15696,-1008,7648,17489.20764
15600,-976,7536,17352.34486
15936,-816,7744,17736.72709
15728,-912,7632,17505.68913
15792,-752,7600,17541.74358
16144,-544,7808,17941.28022
16080,-352,7936,17935.17215
16048,-432,7840,17865.90406
15888,-528,7664,17647.78241
15760,-656,7600,17509.08153
15920,-592,7856,17762.7025
15952,-240,7776,17747.95988
16096,-400,7744,17866.47005
16096,-352,7776,17879.3539
16016,-368,7696,17772.90342
16080,-368,7632,17803.0685
15888,-352,7728,17671.28835
16048,-464,7488,17715.0711
16144,-352,7520,17813.00199
16176,-288,7664,17902.03385
15968,-432,7520,17655.42546
15968,-144,7776,17761.30446
16048,-288,7744,17821.07696
15856,-352,7680,17621.55044
15600,-736,7472,17312.78372
15680,-768,7504,17400.06437
15936,-528,7616,17670.267
15680,-832,7440,17375.50644
15568,-672,7504,17295.20812
15520,-896,8112,17535.04377
14832,-640,9040,17381.5829
13216,-128,11200,17323.94412
12656,-832,12160,17570.77574
11024,1296,12704,16870.08619
11264,1280,12384,16789.26895
10896,576,12208,16373.44973
11152,1104,12128,16512.85269
11392,1136,12048,16619.94176
11344,1072,11840,16432.31937
11360,1264,11776,16411.01679
11648,1456,11904,16718.28508
11472,1392,11968,16636.63043
11376,1264,11824,16456.55031
11440,1168,11856,16516.73575
11632,272,11568,16407.19452
4096,-2240,4096,6210.638615
11840,-3376,11248,16676.34492
11888,-3360,11088,16599.93639
11824,-3184,11200,16594.72302
11872,-3248,11104,16576.87256
11984,-3360,11280,16797.15023
11744,-3216,11168,16522.36109
11856,-3152,11152,16579.11168
11904,-3216,11248,16690.27789
11776,-3232,11280,16624.0308
11872,-3136,11264,16663.03022
11840,-3136,11248,16629.41971
11776,-2832,11296,16561.82405
11952,-1840,11440,16646.60638
11936,-1424,11552,16671.66986
12128,-1072,11568,16794.52863
12256,-1024,11408,16774.99854
12272,-1024,11344,16743.2642
12224,-1072,11504,16820.14792
12128,-992,11504,16745.58043
12832,-1600,10976,16961.50937
12832,-1568,11040,17000.01318
12736,-1552,11008,16905.33833
12736,-1552,11136,16988.96395
13056,-1280,11008,17125.23285
12640,-1088,10816,16671.50863
12784,-1184,10832,16797.75985
12880,-1040,10832,16861.44193
12704,-1152,11040,16870.10136
16896,160,2848,17135.09615
16880,240,2704,17096.88907
16864,96,2736,17084.77123
16656,160,2624,16862.18586
16624,288,3024,16899.25726
16896,208,2928,17149.08931
16784,176,3072,17063.72808
16912,240,3008,17179.098
16640,240,3280,16961.88669
16496,560,3456,16863.43832
16640,-272,3232,16953.15333
16784,16,3456,17136.12698
16528,0,3200,16834.9275
16784,0,3472,17139.35355
16736,-16,3296,17057.47836
16592,64,3568,16971.42257
16736,-96,3920,17189.22081
16400,-176,3856,16848.13675
16512,-128,3856,16956.74686
16464,-48,3760,16887.96021
16480,-112,3744,16900.31006
16736,-288,4160,17247.67347
16528,224,3408,16877.1865
16528,352,3568,16912.40113
16544,400,3376,16889.68064
16640,336,3408,16988.73038
16640,384,3264,16961.44899
16640,464,3360,16982.18172
16848,160,3584,17225.72959
16688,128,3600,17072.36738
16512,-272,4016,16995.54012
16528,-256,3888,16981.0737
16608,-272,3648,17006.10337
16384,-208,3776,16814.78207
15968,48,3536,16354.89603
16576,-96,3360,16913.385
16624,80,3472,16982.89021
16592,0,3440,16944.85361
16400,-16,3520,16773.51054
16688,-144,3440,17039.47417
16416,288,3232,16733.6136
16752,-16,3632,17141.21303
16656,208,3104,16944.03777
16592,288,3360,16931.24355
16560,416,3440,16918.63635
16592,384,3392,16939.52727
16784,672,3136,17087.6779
16512,688,3104,16815.2997
16944,576,3232,17259.10589
16624,288,3184,16928.62003
16576,496,3024,16856.87895
16432,352,2832,16677.97206
16608,128,3504,16974.0998
16544,64,3680,16948.464
16496,-32,3776,16922.68348
16784,112,3424,17130.0606
16752,80,3296,17073.35702
16560,96,3312,16888.22548
16672,128,3200,16976.80677
16512,0,3136,16807.16038
16624,240,3312,16952.4134
16672,112,3248,16985.80678
16720,240,3072,17001.56416
16656,144,3120,16946.31146
16928,160,3232,17234.51792
16624,160,3456,16980.19175
16720,192,3136,17012.6353
16672,208,3136,16965.65189
16640,144,3216,16948.53952
16560,288,3136,16856.78024
16720,320,3104,17008.69237
16480,256,3280,16805.18777
16608,144,3200,16914.0888
16720,240,3104,17007.37534
16704,272,3120,16995.05811
16688,256,3312,17015.41137
16448,112,3584,16834.31923
16592,160,3824,17027.71388
16528,160,3840,16968.97121
16608,192,3808,17040.05258
16560,144,3824,16996.39115
16560,416,3504,16931.76518
16848,64,3696,17248.75694
16576,208,3536,16950.23115
16288,448,3648,16697.53131
16720,176,3552,17094.03639
16352,400,3616,16751.81662
16544,384,3392,16892.51479
16560,416,3424,16915.39039
16576,352,3488,16942.66284
16576,512,3360,16920.8605
16704,448,3360,17044.4689
16496,480,3856,16947.48217
16416,656,3808,16864.64515
