x,y,z,energy
16192,-752,7600,17902.69164
15696,-1008,7648,17489.20764
15600,-976,7536,17352.34486
15936,-816,7744,17736.72709
15728,-912,7632,17505.68913
15792,-752,7600,17541.74358
16144,-544,7808,17941.28022
16080,-352,7936,17935.17215
16048,-432,7840,17865.90406
15888,-528,7664,17647.78241
15760,-656,7600,17509.08153
15920,-592,7856,17762.7025
15952,-240,7776,17747.95988
16096,-400,7744,17866.47005
16096,-352,7776,17879.3539
16016,-368,7696,17772.90342
16080,-368,7632,17803.0685
15888,-352,7728,17671.28835
16048,-464,7488,17715.0711
16144,-352,7520,17813.00199
16176,-288,7664,17902.03385
15968,-432,7520,17655.42546
15968,-144,7776,17761.30446
16048,-288,7744,17821.07696
15856,-352,7680,17621.55044
15600,-736,7472,17312.78372
15680,-768,7504,17400.06437
15936,-528,7616,17670.267
15680,-832,7440,17375.50644
15568,-672,7504,17295.20812
15520,-896,8112,17535.04377
14832,-640,9040,17381.5829
13216,-128,11200,17323.94412
12656,-832,12160,17570.77574
11024,1296,12704,16870.08619
11264,1280,12384,16789.26895
10896,576,12208,16373.44973
11152,1104,12128,16512.85269
11392,1136,12048,16619.94176
11344,1072,11840,16432.31937
11360,1264,11776,16411.01679
11648,1456,11904,16718.28508
11472,1392,11968,16636.63043
11376,1264,11824,16456.55031
11440,1168,11856,16516.73575
11632,272,11568,16407.19452
,,,
11840,-3376,11248,16676.34492
11888,-3360,11088,16599.93639
11824,-3184,11200,16594.72302
11872,-3248,11104,16576.87256
11984,-3360,11280,16797.15023
11744,-3216,11168,16522.36109
11856,-3152,11152,16579.11168
11904,-3216,11248,16690.27789
11776,-3232,11280,16624.0308
11872,-3136,11264,16663.03022
11840,-3136,11248,16629.41971
11776,-2832,11296,16561.82405
11952,-1840,11440,16646.60638
11936,-1424,11552,16671.66986
12128,-1072,11568,16794.52863
12256,-1024,11408,16774.99854
12272,-1024,11344,16743.2642
12224,-1072,11504,16820.14792
12128,-992,11504,16745.58043
12832,-1600,10976,16961.50937
12832,-1568,11040,17000.01318
12736,-1552,11008,16905.33833
12736,-1552,11136,16988.96395
13056,-1280,11008,17125.23285
12640,-1088,10816,16671.50863
12784,-1184,10832,16797.75985
12880,-1040,10832,16861.44193
12704,-1152,11040,16870.10136
