x,y,z,energy
-9568,-480,1252,9661.497192
-9568,-848,1241,9685.339901
-7920,-1952,1315,8262.319832
-7632,-2352,1353,8099.996111
-8448,-3616,1260,9275.330722
-8944,-848,1329,9081.876513
-8560,-2736,1280,9077.317665
-8560,-2384,1281,8977.639835
-8496,-2496,1289,8948.382703
-8496,-2416,1300,8927.993728
-8512,-2368,1291,8929.067644
-8528,-2304,1294,8928.025314
-8640,-2352,1289,9046.713492
-8400,-2320,1313,8812.852489
-7760,-2192,1348,8175.546954
-8544,-2928,1254,9118.42289
-8896,-3504,1222,9638.989366
-8256,-3088,1280,8907.057876
-8416,-2624,1281,8908.164401
-8544,-2656,1300,9041.253895
-8480,-2656,1289,8979.212493
-8400,-2624,1294,8894.931815
-8688,-2624,1275,9164.733766
-8432,-2480,1289,8883.160755
-8256,-2496,1292,8721.285226
-8384,-2464,1292,8833.573229
-8448,-2576,1300,8927.176485
-8384,-2544,1297,8856.952128
-8544,-2576,1291,9016.783961
-8384,-2368,1305,8809.194345
-8448,-2416,1288,8880.580161
-8448,-2400,1286,8875.950653
-8416,-2448,1257,8854.479601
-8304,-2400,1305,8741.821378
-8352,-2384,1292,8781.151633
-8400,-2368,1289,8822.071469
-8288,-2448,1310,8740.694938
-8416,-2448,1299,8860.539543
-8368,-2432,1291,8809.35463
-8384,-2368,1300,8808.455029
-8352,-2400,1308,8787.876194
-8400,-2432,1305,8841.81254
-8832,-2432,1286,9250.548308
-8320,-2272,1278,8718.811157
-7984,-2144,1228,8357.569982
-8352,-1840,1350,8658.175558
-8288,-1968,1340,8623.199406
-8608,-2496,1292,9055.216397
-8544,-2256,1297,8931.49937
-8464,-2400,1289,8891.614983
-8496,-2304,1296,8897.755223
-8448,-2256,1305,8840.885985
-8448,-2272,1273,8840.317698
-8512,-2208,1305,8890.018729
-8272,-1952,1344,8604.80238
-8384,-2048,1315,8730.119415
-8512,-2176,1294,8880.515526
-8496,-2144,1302,8858.552703
-8384,-2128,1307,8748.033436
-8464,-2208,1299,8843.187265
-8512,-2240,1283,8894.820572
-8400,-2128,1307,8763.368816
-8416,-2048,1308,8759.807304
-8432,-2064,1302,8778.036455
-8448,-2176,1316,8822.445013
-8448,-2112,1316,8806.878221
-8528,-2096,1296,8876.914779
-8240,-2000,1315,8580.607496
-8576,-2208,1296,8950.008715
-8432,-2144,1297,8796.452069
-8480,-2016,1313,8814.682354
-8432,-2064,1312,8779.525272
-8464,-2080,1302,8812.542198
-8560,-2064,1276,8897.295769
-8608,-2096,1304,8954.959296
-8528,-2128,1296,8884.524973
-8544,-2016,1305,8875.08969
-8496,-2208,1297,8873.527427
-8512,-2016,1294,8842.671316
-8496,-2128,1292,8853.229015
-8496,-2112,1291,8849.250872
-8368,-2064,1292,8715.089443
-8576,-2112,1288,8925.652021
-8512,-2064,1294,8853.737968
-8672,-2080,1304,9012.790911
-8496,-2048,1297,8835.073797
-8496,-1936,1316,8812.602794
-8592,-2000,1300,8916.976169
-8608,-1936,1296,8917.700152
-8576,-1984,1302,8898.271518
-8592,-1968,1307,8910.877454
-8608,-2000,1304,8932.977107
-8592,-2048,1347,8934.829433
-8576,-1984,1300,8897.979096
-8464,-1968,1300,8786.485077
-8656,-2048,1294,8988.608124
