x,y,z,energy
16896,160,2848,17135.09615
16880,240,2704,17096.88907
16864,96,2736,17084.77123
16656,160,2624,16862.18586
16624,288,3024,16899.25726
16896,208,2928,17149.08931
16784,176,3072,17063.72808
16912,240,3008,17179.098
16640,240,3280,16961.88669
16496,560,3456,16863.43832
16640,-272,3232,16953.15333
16784,16,3456,17136.12698
16528,0,3200,16834.9275
16784,0,3472,17139.35355
16736,-16,3296,17057.47836
16592,64,3568,16971.42257
16736,-96,3920,17189.22081
16400,-176,3856,16848.13675
16512,-128,3856,16956.74686
16464,-48,3760,16887.96021
16480,-112,3744,16900.31006
16736,-288,4160,17247.67347
16528,224,3408,16877.1865
16528,352,3568,16912.40113
16544,400,3376,16889.68064
16640,336,3408,16988.73038
16640,384,3264,16961.44899
16640,464,3360,16982.18172
16848,160,3584,17225.72959
16688,128,3600,17072.36738
16512,-272,4016,16995.54012
16528,-256,3888,16981.0737
16608,-272,3648,17006.10337
16384,-208,3776,16814.78207
,,,
16576,-96,3360,16913.385
16624,80,3472,16982.89021
16592,0,3440,16944.85361
16400,-16,3520,16773.51054
16688,-144,3440,17039.47417
16416,288,3232,16733.6136
16752,-16,3632,17141.21303
16656,208,3104,16944.03777
16592,288,3360,16931.24355
16560,416,3440,16918.63635
16592,384,3392,16939.52727
16784,672,3136,17087.6779
16512,688,3104,16815.2997
16944,576,3232,17259.10589
16624,288,3184,16928.62003
16576,496,3024,16856.87895
16432,352,2832,16677.97206
16608,128,3504,16974.0998
16544,64,3680,16948.464
16496,-32,3776,16922.68348
16784,112,3424,17130.0606
16752,80,3296,17073.35702
16560,96,3312,16888.22548
16672,128,3200,16976.80677
16512,0,3136,16807.16038
16624,240,3312,16952.4134
16672,112,3248,16985.80678
16720,240,3072,17001.56416
16656,144,3120,16946.31146
16928,160,3232,17234.51792
16624,160,3456,16980.19175
16720,192,3136,17012.6353
16672,208,3136,16965.65189
16640,144,3216,16948.53952
16560,288,3136,16856.78024
16720,320,3104,17008.69237
16480,256,3280,16805.18777
16608,144,3200,16914.0888
16720,240,3104,17007.37534
16704,272,3120,16995.05811
16688,256,3312,17015.41137
16448,112,3584,16834.31923
16592,160,3824,17027.71388
16528,160,3840,16968.97121
16608,192,3808,17040.05258
16560,144,3824,16996.39115
16560,416,3504,16931.76518
16848,64,3696,17248.75694
16576,208,3536,16950.23115
16288,448,3648,16697.53131
16720,176,3552,17094.03639
16352,400,3616,16751.81662
16544,384,3392,16892.51479
16560,416,3424,16915.39039
16576,352,3488,16942.66284
16576,512,3360,16920.8605
16704,448,3360,17044.4689
16496,480,3856,16947.48217
16416,656,3808,16864.64515
16624,-240,3808,17056.25516
16656,-80,3888,17103.9551
16464,-272,4096,16968.04338
16432,-80,4304,16986.50759
16288,-144,4256,16835.47493
16704,-144,3760,17122.55682
16400,-64,4000,16880.8796
16400,-144,4256,16943.85647
16544,-80,3904,16998.575
16432,-128,3984,16908.55594
16448,-96,4064,16942.90459
16432,-176,4336,16995.3669
16528,-48,4080,17024.20301
16496,-272,4208,17026.4284
16432,-208,4416,17016.31405
16320,-32,4368,16894.46205
16384,-96,4464,16981.51842
16336,-32,4416,16922.38092
16240,128,4528,16859.91601
16352,288,3712,16770.50363
16384,432,3936,16855.68676
16592,480,4016,17077.85467
16304,672,3968,16793.3625
16416,496,4640,17066.36083
16400,800,4256,16962.12062
16304,704,4432,16910.31212
16352,784,4496,16976.94248
16288,608,4496,16908.06387
15920,496,4512,16554.47251
15360,1168,5280,16284.10956
16400,448,4912,17125.66635
16464,576,4608,17106.39459
16000,304,4912,16739.77778
16096,960,4720,16801.22662
16240,880,4592,16899.65869
16272,448,4784,16966.59494
16352,304,4672,17009.05359
16272,416,4736,16952.30769
16160,304,5024,16925.67848
16192,432,4992,16949.55905
15888,496,4640,16559.11109
,,,
16720,528,3152,17022.6992
16672,608,2816,16919.07515
16640,512,3072,16928.93759
16624,480,3152,16926.98674
16800,576,3424,17155.04451
17216,432,3136,17504.62156
16624,544,3296,16956.32413
16656,512,3184,16965.32747
16608,672,3328,16951.48465
16656,880,3376,17017.46491
