x,y,z,energy
15440,1792,785,15563.45363
16224,1632,694,16320.63835
15296,1344,596,15366.49498
16832,-1648,840,16933.33186
15648,-176,568,15659.29449
12464,-1856,732,12622.6723
16896,544,312,16907.63425
7936,-1056,553,8025.025919
20432,-1632,1168,20530.32567
11776,-2528,588,12058.63608
21200,-1504,1174,21285.68279
11872,-656,558,11903.19638
17968,-1648,1070,18075.11627
11200,-544,740,11237.59476
21136,-976,1188,21191.84787
11600,-368,606,11621.64618
18512,-1792,1334,18646.31234
14672,-1056,680,14725.66195
15344,-1824,969,15482.38589
16384,-3280,694,16723.50119
14912,-848,902,14963.30351
14688,-208,414,14695.30551
13328,-2064,806,13510.9332
16656,-3008,603,16936.17457
11648,-416,769,11680.76714
12624,2288,147,12830.50775
10624,-928,672,10685.60452
17264,-5232,385,18043.49592
10624,-544,625,10656.26281
23360,1360,1166,23428.58843
8256,-256,416,8270.43699
22928,-848,1160,22972.9817
10672,-976,640,10735.6304
20448,384,1348,20495.98165
13504,224,734,13525.78826
15248,704,972,15295.1595
14096,1568,387,14188.22078
10832,-2736,502,11183.46655
18400,848,848,18439.04032
13280,2176,145,13457.87506
9456,-928,414,9510.442471
24816,-976,920,24852.21986
9392,-1584,417,9533.761535
21952,-704,1233,21997.86828
12112,768,636,12152.97758
18160,992,1153,18223.58562
14960,768,622,14992.60845
16048,-384,796,16072.31707
17552,-2144,724,17697.27708
13008,688,841,13053.30184
13616,3184,211,13984.91448
8816,16,523,8831.514083
18544,-3072,600,18806.30533
10880,816,638,10929.19485
24048,1824,1168,24145.34125
8256,1536,492,8412.068473
18704,2096,1169,18857.34321
11584,-112,707,11606.09534
21296,2208,1334,21451.67676
10880,1536,635,11006.22192
16976,800,1070,17028.49013
16000,128,742,16017.70733
15040,160,852,15064.96279
17296,-1072,686,17342.76206
12736,1440,915,12849.76735
13856,5056,299,14752.67003
11248,2224,608,11481.87023
20496,480,907,20521.67306
10736,288,515,10752.2028
20304,-1232,1278,20381.45049
15072,896,732,15116.34294
13248,832,830,13300.02361
18784,2080,873,18918.96363
19472,-784,683,19499.74177
11600,544,494,11623.25135
23472,2832,915,23659.92885
9440,1392,484,9554.345608
17504,1376,897,17580.89875
16080,2720,836,16329.84066
16352,368,851,16378.26392
14016,-2832,204,14300.70264
12096,1328,736,12190.91859
15152,3040,454,15460.62159
7728,224,428,7743.083623
24272,1888,1140,24371.99475
11200,304,609,11220.66384
20864,496,1096,20898.65374
12480,2000,632,12655.03157
15744,1616,961,15855.86683
15680,176,707,15696.91769
14800,1104,912,14869.1143
15824,-128,622,15836.73716
12544,1056,721,12609.00127
16560,1776,686,16669.08432
9392,192,464,9405.414611
21120,2816,1232,21342.4947
10976,208,630,10996.03292
19472,2416,1280,19663.01706
15216,2000,705,15363.06223
13776,1968,996,13951.45928
13600,5424,432,14648.0852
11552,736,667,11594.62328
20736,-112,971,20759.02409
10640,192,571,10657.04016
20528,2688,1201,20738.04545
13296,1120,593,13356.25939
12672,2064,771,12862.11962
12720,1248,368,12786.37275
13392,-768,558,13425.60434
14736,2240,849,14929.43726
12512,3072,286,12886.78098
10528,1104,596,10602.49103
17808,-1424,630,17875.94865
11712,336,544,11729.44057
21904,1040,1028,21952.75837
10448,1584,566,10582.53826
18160,2256,1062,18330.38407
14208,976,756,14261.53484
14192,1168,992,14274.49306
15632,-960,625,15673.9162
11888,1472,852,12009.04792
19392,1952,998,19515.53156
10704,1856,646,10882.90715
14336,1312,835,14420.10628
13520,3376,601,13948.08148
12784,1312,772,12874.31489
17200,-1328,428,17256.4993
10304,1568,680,10444.78051
16768,3952,924,17252.18548
8208,1232,516,8315.969216
22320,2512,1102,22487.92894
8768,1248,516,8871.391323
6144,64,614,6174.935465
9984,1968,547,10190.80414
16001,3504,985,16409.76057
12480,2992,705,12852.99533
14656,1984,840,14813.51383
18816,2736,888,19034.6026
11136,2688,776,11482.07368
16256,5136,560,17057.24573
10848,784,721,10900.16518
16832,-752,576,16858.63292
9568,1072,680,9651.849978
16960,1584,1070,17067.38281
16592,-400,577,16606.84777
15024,3440,771,15432.06457
15600,-896,699,15641.3368
13296,1344,841,13390.19167
14448,720,790,14487.48439
13904,2752,779,14195.12455
12496,5440,886,13657.5478
13968,5344,728,14973.08732
12336,1600,1033,12482.14665
11200,4896,1292,12291.4637
12512,1936,1014,12701.43441
10432,2368,840,10730.31444
22944,4256,1416,23378.31748
10192,432,857,10237.08635
12128,1344,945,12238.78037
13408,3712,892,13940.9136
10144,-720,664,10191.17422
14240,1184,1297,14347.88016
13904,2176,1238,14127.5913
11264,-1280,822,11366.2562
16800,-400,1168,16845.30273
14032,256,920,14064.45733
12400,-912,782,12458.06036
14816,624,1056,14866.68652
12992,3712,761,13533.29705
11952,-96,780,11977.80948
12304,816,912,12364.70849
16112,304,1091,16151.75659
14112,-1632,776,14227.23248
12096,736,880,12150.28033
14976,-1200,1089,15063.41585
19264,-576,964,19296.70355
13232,-480,835,13267.00603
12480,-1104,848,12557.401
22416,-1040,1388,22482.99802
13328,352,905,13363.32717
12832,-1152,809,12908.98172
21568,-2000,1292,21699.02966
14272,384,841,14301.91319
12288,-1712,763,12430.12699
21584,-2448,1257,21758.718
13664,560,777,13697.52624
12112,-1728,848,12263.99739
16640,-416,1172,16686.40884
14192,1200,860,14268.58311
11408,-1648,764,11551.7126
16000,-64,1214,16046.11766
15200,1568,944,15309.79294
11168,-1344,723,11271.79174
15600,-320,1232,15651.84411
13888,96,958,13921.33341
11888,-1616,801,12024.04262
15728,-208,1156,15771.79711
13360,-432,1035,13406.99254
11648,-1984,776,11841.21345
18208,-1376,1254,18302.92753
13744,-432,1001,13787.17379
12880,-2976,819,13244.68712
14224,-1872,878,14373.49797
16832,2064,1171,16998.45761
11344,-1120,750,11423.80129
16176,576,1240,16233.67956
14512,-848,1078,14576.67081
12480,-1712,827,12623.99592
19936,-2640,1187,20145.0407
13520,-1488,830,13626.93817
13088,-1488,968,13207.83525
16928,-2320,972,17113.86479
12080,-2576,678,12370.20048
12768,-2336,876,13009.46179
15856,-3520,707,16257.39785
11088,720,844,11143.36035
13632,624,1281,13706.26722
15536,-336,982,15570.62992
12240,400,1008,12287.94792
18224,-688,1137,18272.39144
11376,-64,867,11409.17004
12128,736,948,12187.23857
15440,1728,649,15549.94486
10528,-1296,779,10636.03502
14496,-1328,1417,14625.50816
13888,-1136,1150,13981.7574
10944,-1040,892,11029.43335
19776,-1392,1184,19860.25418
10960,-1808,625,11125.69499
14976,-1712,1198,15121.06888
14688,-2080,808,14856.53419
11760,1360,947,11876.19506
19888,1344,1267,19973.58678
8816,-464,716,8857.189622
13488,48,1084,13531.57434
14448,1552,1014,14566.45475
10736,-736,913,10799.8593
14880,-688,1188,14943.19537
13136,-640,931,13184.49305
11568,-896,892,11636.88549
16656,-2864,795,16919.12696
10208,-1200,670,10300.10505
13456,-1696,1166,13612.49088
15952,-2688,904,16202.12529
11968,-480,1041,12022.77443
