x,y,z,energy
15312,-1088,6960,16854.75268
15648,-1408,6704,17081.74417
16656,432,6400,17848.50022
13216,192,6752,14842.13677
15360,-800,11488,19197.49317
15728,4544,13888,21468.45276
9120,-2864,4240,10457.27001
19552,-2912,13520,23948.92165
10816,-1648,6400,12675.24201
12880,-704,10672,16741.61283
16976,560,14096,22072.50308
13104,1696,8976,15973.72242
8912,-2016,6896,11447.39342
16464,1200,14528,21990.13597
15952,1808,13536,20999.01102
11328,-640,10608,15532.63815
16304,640,12688,20669.18866
15392,2720,11872,19627.95068
8192,-2032,4416,9525.699134
14240,688,10704,17827.69082
22048,1984,8000,23538.27861
12288,560,8544,14976.93159
10752,1296,9936,14697.25199
17984,1376,14544,23169.9281
13376,-3680,5808,15039.70212
9920,912,10352,14366.69927
13296,-1536,9840,16612.30002
15632,-400,8496,17796.10744
7648,80,6960,10341.17517
15168,48,17680,23294.91206
15600,1792,12864,20299.10737
12304,240,9712,15677.02013
15056,176,6640,16456.11473
8480,-704,6480,10695.62602
11584,160,10528,15654.18283
15312,1472,8160,17412.91842
8544,304,9392,12700.47306
10768,864,11728,15944.97739
13856,2432,8240,16303.40333
8208,32,7616,11197.13106
13376,64,12176,18088.01946
14272,1280,12384,18939.16154
8784,-1712,6512,11067.77954
12432,-304,10928,16555.00601
10096,992,13360,16775.06721
11888,-160,8368,14538.6921
14992,4768,5520,16672.26103
15712,3136,2864,16275.86975
16816,1472,464,16886.67925
17120,2256,384,17272.27235
16880,2080,384,17012.00329
