x,y,z,energy
14000,-1040,10480,17518.90408
12432,-3200,10432,16541.50078
16912,-1776,9744,19598.86364
18192,-7968,18864,27391.39252
11120,-736,7328,13337.75393
10560,976,7280,12863.30346
8800,-64,9024,12604.62899
11184,-240,12016,16417.17735
14080,-1680,15968,21355.22943
19552,-9856,4656,22385.25801
19104,-4864,16416,25653.58392
16016,1152,20256,25848.49891
10352,-832,7520,12822.1109
8272,-880,1152,8398.064539
6240,1008,-224,6324.858892
8768,-1040,512,8844.295789
8016,-688,4544,9239.996537
9488,-3856,6960,12382.74929
7984,-3920,14272,16816.67744
13440,-1728,13984,19472.33525
16384,-6688,16704,24334.92174
19520,-6592,19696,28502.93459
20944,-7536,7168,23384.23948
17984,-11808,10096,23765.14961
14576,5360,16512,22667.94036
6672,-2288,7280,10136.51459
8816,-2592,5264,10590.09046
3632,240,6848,7755.264534
3952,-496,5104,6474.189988
3232,-752,4720,5769.725123
4976,-1120,9200,10519.26689
9904,-3920,12400,16346.73105
16976,-4720,14608,22887.91471
19504,-1264,24640,31450.48985
27952,1088,27392,39151.24151
16640,-3504,7488,18580.5748
11296,1552,10816,15716.04836
8176,-3360,6432,10931.93487
10528,-4752,6624,13315.31689
11648,-3280,9536,15406.80369
9568,-2800,8576,13150.45246
13200,-1872,10736,17117.42037
14992,352,10800,18480.3671
18656,-2176,17120,25414.08491
22368,-10736,13440,28217.41873
22544,-9296,12496,27400.68554
14480,1888,30960,34230.92964
7520,-2752,1024,8072.947417
3440,-2288,-896,4227.453134
608,-2448,-800,2646.198783
128,-3312,1168,3514.249849
7376,-4912,3584,9559.193271
8848,-2512,6560,11297.38235
8112,-4896,6208,11327.60451
9200,-2656,4928,10769.37881
9392,-5632,7136,13071.02077
14672,-4128,9264,17836.18973
17728,-2672,10336,20694.30994
16352,-6192,12240,21343.53223
19840,-8736,4480,22136.25298
17024,-6176,11344,21369.27439
16640,-9200,11232,22083.64608
18320,-7920,12768,23693.26115
22800,-8080,12416,27189.76749
18576,-10560,13264,25149.85233
21008,-11088,12032,26627.97086
27376,-17328,5536,32868.71242
28976,-12320,11152,33402.96514
32640,-18928,9168,38828.997
32640,-10992,9264,35665.32434
31408,-15120,10224,36326.39591
29456,-21456,7280,37162.00038
31168,-14816,8928,35646.42007
21616,-15072,15072,30357.56617
26064,-10688,8912,29546.39037
19296,-13312,4944,23958.04867
31472,-7344,10112,33862.57025
28592,-8288,8848,31056.08655
32480,-25600,1744,41392.65558
30400,-22336,976,37736.05003
32176,-15936,11984,37853.23405
30144,-16896,3712,34755.06432
22352,-14176,15600,30723.45814
16624,-10960,9296,21974.86273
19888,-11824,12288,26197.98588
20560,-12304,10192,26038.02758
26064,-12368,19520,34832.88561
16960,-9776,9136,21602.7376
11216,-7376,-1888,13556.12688
9856,-4944,5568,12352.59066
5728,-3936,-3200,7651.279632
4576,320,-1984,4997.842735
4400,14224,15904,21785.76122
6944,-5232,3568,9398.062779
8624,-4608,4608,10809.28786
10720,-4880,4672,12671.2424
14192,-5728,7136,16886.24719
14256,-5120,7408,16861.9809
14112,-5968,7216,16936.23996
