x,y,z,energy
15968,2208,3728,16545.40033
16192,1792,4112,16801.80562
16368,1408,4720,17093.04794
16096,1360,4512,16771.67135
16336,1008,4144,16883.53328
16688,896,3648,17105.55652
17056,976,2640,17286.68019
16752,368,2160,16894.68934
16608,688,2736,16845.9106
16848,992,2720,17094.95739
16928,880,2720,17167.70177
16752,176,2912,17004.12374
16864,128,2656,17072.35239
17088,336,2576,17284.3402
16672,352,2592,16875.95781
16768,416,2192,16915.78387
16528,192,2224,16678.06416
16064,784,3936,16557.74284
16112,640,5376,16997.27978
15536,912,6640,16920.06619
15488,1008,6464,16813.01591
15600,880,6496,16921.35976
15424,1120,6800,16893.61347
15456,864,6672,16856.74986
15504,992,6512,16845.30273
15424,816,6656,16818.67914
15488,1680,6944,17056.36773
15440,1168,7344,17137.44905
16320,432,5616,17264.65986
16016,1056,4464,16659.97263
15456,1456,4976,16302.4062
15920,1136,6496,17231.79944
15312,400,6304,16563.74837
15440,1056,7264,17096.03556
14816,864,7648,16695.87542
14704,912,7872,16703.5249
13952,768,8544,16378.28025
14608,672,7952,16645.70671
15024,928,7712,16913.21093
15104,864,7760,17002.7913
14976,944,7632,16835.05676
14864,1104,7696,16774.55597
14656,880,7584,16525.42865
15120,992,7136,16748.75995
15104,1376,7072,16734.31732
15056,1328,7136,16714.34163
15232,1168,7200,16888.39981
15056,1312,7552,16894.88633
15056,1232,7488,16860.34116
15104,1248,7408,16869.10739
15040,1344,7952,17065.82081
15024,1344,7472,16833.23189
14896,1232,7424,16689.05078
14832,1072,7376,16599.48144
15040,1248,7568,16882.94192
14800,1328,7632,16704.8199
15088,1344,7520,16911.66698
15200,1232,7104,16823.33617
15824,1248,6096,17003.46129
16272,400,5952,17331.02097
15776,1200,5584,16778.05805
15392,1344,6080,16603.80679
15552,1824,6256,16862.06441
15568,1408,5808,16675.66946
15792,1504,5680,16849.67893
16144,1584,4784,16912.25733
16976,544,1952,17096.51473
16288,1152,864,16351.53033
16768,1808,2192,17007.04419
16368,2304,3904,16984.14131
16320,1968,4368,17008.66979
16080,1328,4880,16856.58281
16304,1072,3888,16795.42033
14608,432,6064,15822.52774
15824,736,5872,16894.40902
15168,880,6288,16443.28337
15600,1216,5952,16741.11585
15760,960,5744,16801.56945
16064,1104,5344,16965.53117
15904,816,5248,16767.3664
15984,1152,5744,17023.77443
15936,1184,5616,16938.04617
15840,1120,5904,16941.58245
15952,1056,5376,16866.61839
16096,1152,5200,16954.30093
16096,1120,5120,16927.78828
16160,1200,5072,16979.71684
15872,1296,5392,16812.90171
15872,1088,5552,16850.18789
15840,1232,5440,16793.3625
16032,1344,5184,16902.81681
16240,1264,4800,16981.61641
16224,1440,4704,16953.44779
16128,1232,4848,16885.89092
16112,1376,4896,16895.58333
16112,1488,5008,16937.84969
16336,1440,4752,17073.95678
16256,1488,4752,17001.56416
16560,1072,3536,16967.20602
16512,816,3472,16892.80273
16784,320,3136,17077.45742
